,type,airline,delay,scheduledTime,actualTime,date,Day of the week
0,departure,southwest airlines,26.0,2024-05-09 18:00:00,2024-05-09 18:26:00,2024-05-09,Thursday
1,departure,southwest airlines,13.0,2024-05-09 18:20:00,2024-05-09 18:32:00,2024-05-09,Thursday
4,departure,delta air lines,75.0,2024-05-09 18:30:00,,2024-05-09,Thursday
8,departure,delta air lines,3.0,2024-05-09 18:53:00,2024-05-09 18:55:00,2024-05-09,Thursday
9,departure,southwest airlines,59.0,2024-05-09 19:00:00,,2024-05-09,Thursday
11,departure,alaska airlines,38.0,2024-05-09 19:52:00,2024-05-09 20:30:00,2024-05-09,Thursday
12,departure,hawaiian airlines,6.0,2024-05-09 19:59:00,2024-05-09 20:05:00,2024-05-09,Thursday
13,departure,jetblue airways,6.0,2024-05-09 19:59:00,2024-05-09 20:05:00,2024-05-09,Thursday
20,departure,american airlines,24.0,2024-05-09 20:05:00,2024-05-09 20:29:00,2024-05-09,Thursday
21,departure,frontier airlines,99.0,2024-05-09 20:13:00,,2024-05-09,Thursday
22,departure,aeromexico,5.0,2024-05-09 20:15:00,2024-05-09 20:19:00,2024-05-09,Thursday
25,departure,delta air lines,5.0,2024-05-09 20:15:00,2024-05-09 20:19:00,2024-05-09,Thursday
27,departure,frontier airlines,8.0,2024-05-09 20:19:00,2024-05-09 20:26:00,2024-05-09,Thursday
28,departure,southwest airlines,14.0,2024-05-09 20:20:00,2024-05-09 20:34:00,2024-05-09,Thursday
30,departure,united airlines,67.0,2024-05-09 20:26:00,,2024-05-09,Thursday
31,departure,aeromexico,6.0,2024-05-09 20:30:00,2024-05-09 20:36:00,2024-05-09,Thursday
34,departure,delta air lines,6.0,2024-05-09 20:30:00,2024-05-09 20:36:00,2024-05-09,Thursday
35,departure,southwest airlines,33.0,2024-05-09 20:35:00,2024-05-09 21:07:00,2024-05-09,Thursday
37,departure,aeromexico,45.0,2024-05-09 20:45:00,,2024-05-09,Thursday
40,departure,delta air lines,45.0,2024-05-09 20:45:00,,2024-05-09,Thursday
41,departure,aeromexico,28.0,2024-05-09 20:48:00,2024-05-09 21:15:00,2024-05-09,Thursday
44,departure,delta air lines,28.0,2024-05-09 20:48:00,2024-05-09 21:15:00,2024-05-09,Thursday
45,departure,aeromexico,32.0,2024-05-09 20:50:00,2024-05-09 21:21:00,2024-05-09,Thursday
47,departure,delta air lines,32.0,2024-05-09 20:50:00,2024-05-09 21:21:00,2024-05-09,Thursday
48,departure,aeromexico,10.0,2024-05-09 20:51:00,2024-05-09 21:00:00,2024-05-09,Thursday
51,departure,delta air lines,10.0,2024-05-09 20:51:00,2024-05-09 21:00:00,2024-05-09,Thursday
53,departure,aeromexico,5.0,2024-05-09 20:52:00,2024-05-09 20:57:00,2024-05-09,Thursday
57,departure,delta air lines,5.0,2024-05-09 20:52:00,2024-05-09 20:57:00,2024-05-09,Thursday
58,departure,aeromexico,5.0,2024-05-09 20:55:00,2024-05-09 21:00:00,2024-05-09,Thursday
63,departure,delta air lines,5.0,2024-05-09 20:55:00,2024-05-09 21:00:00,2024-05-09,Thursday
64,departure,delta air lines,9.0,2024-05-09 20:55:00,2024-05-09 21:04:00,2024-05-09,Thursday
65,departure,aeromexico,45.0,2024-05-09 20:55:00,,2024-05-09,Thursday
69,departure,delta air lines,45.0,2024-05-09 20:55:00,,2024-05-09,Thursday
70,departure,aeromexico,11.0,2024-05-09 20:55:00,2024-05-09 21:05:00,2024-05-09,Thursday
73,departure,delta air lines,11.0,2024-05-09 20:55:00,2024-05-09 21:05:00,2024-05-09,Thursday
74,departure,southwest airlines,53.0,2024-05-09 20:55:00,2024-05-09 21:47:00,2024-05-09,Thursday
75,departure,aeromexico,10.0,2024-05-09 20:59:00,2024-05-09 21:09:00,2024-05-09,Thursday
77,departure,delta air lines,10.0,2024-05-09 20:59:00,2024-05-09 21:09:00,2024-05-09,Thursday
78,departure,aeromexico,7.0,2024-05-09 21:00:00,2024-05-09 21:06:00,2024-05-09,Thursday
81,departure,delta air lines,7.0,2024-05-09 21:00:00,2024-05-09 21:06:00,2024-05-09,Thursday
83,departure,aeromexico,10.0,2024-05-09 21:00:00,2024-05-09 21:10:00,2024-05-09,Thursday
87,departure,delta air lines,10.0,2024-05-09 21:00:00,2024-05-09 21:10:00,2024-05-09,Thursday
91,departure,delta air lines,17.0,2024-05-09 21:01:00,2024-05-09 21:17:00,2024-05-09,Thursday
92,departure,aeromexico,50.0,2024-05-09 21:05:00,,2024-05-09,Thursday
94,departure,delta air lines,50.0,2024-05-09 21:05:00,,2024-05-09,Thursday
95,departure,aeromexico,,2024-05-09 21:05:00,2024-05-09 21:05:00,2024-05-09,Thursday
97,departure,delta air lines,,2024-05-09 21:05:00,2024-05-09 21:05:00,2024-05-09,Thursday
101,departure,delta air lines,9.0,2024-05-09 21:05:00,2024-05-09 21:14:00,2024-05-09,Thursday
103,departure,delta air lines,38.0,2024-05-09 21:05:00,2024-05-09 21:42:00,2024-05-09,Thursday
105,departure,aeromexico,19.0,2024-05-09 21:05:00,2024-05-09 21:23:00,2024-05-09,Thursday
108,departure,delta air lines,19.0,2024-05-09 21:05:00,2024-05-09 21:23:00,2024-05-09,Thursday
109,departure,aeromexico,16.0,2024-05-09 21:10:00,2024-05-09 21:25:00,2024-05-09,Thursday
112,departure,delta air lines,16.0,2024-05-09 21:10:00,2024-05-09 21:25:00,2024-05-09,Thursday
114,departure,aeromexico,17.0,2024-05-09 21:10:00,2024-05-09 21:27:00,2024-05-09,Thursday
117,departure,delta air lines,17.0,2024-05-09 21:10:00,2024-05-09 21:27:00,2024-05-09,Thursday
120,departure,aeromexico,8.0,2024-05-09 21:15:00,2024-05-09 21:22:00,2024-05-09,Thursday
123,departure,delta air lines,8.0,2024-05-09 21:15:00,2024-05-09 21:22:00,2024-05-09,Thursday
124,departure,aeromexico,10.0,2024-05-09 21:15:00,2024-05-09 21:24:00,2024-05-09,Thursday
126,departure,delta air lines,10.0,2024-05-09 21:15:00,2024-05-09 21:24:00,2024-05-09,Thursday
127,departure,delta air lines,135.0,2024-05-09 21:20:00,,2024-05-09,Thursday
128,departure,aeromexico,14.0,2024-05-09 21:25:00,2024-05-09 21:39:00,2024-05-09,Thursday
130,departure,delta air lines,14.0,2024-05-09 21:25:00,2024-05-09 21:39:00,2024-05-09,Thursday
132,departure,delta air lines,9.0,2024-05-09 21:25:00,2024-05-09 21:34:00,2024-05-09,Thursday
134,departure,aeromexico,119.0,2024-05-09 21:26:00,,2024-05-09,Thursday
137,departure,delta air lines,119.0,2024-05-09 21:26:00,,2024-05-09,Thursday
138,departure,delta air lines,2.0,2024-05-09 21:30:00,2024-05-09 21:31:00,2024-05-09,Thursday
140,departure,aeromexico,3.0,2024-05-09 21:35:00,2024-05-09 21:37:00,2024-05-09,Thursday
142,departure,delta air lines,3.0,2024-05-09 21:35:00,2024-05-09 21:37:00,2024-05-09,Thursday
143,departure,aeromexico,40.0,2024-05-09 21:40:00,,2024-05-09,Thursday
146,departure,delta air lines,40.0,2024-05-09 21:40:00,,2024-05-09,Thursday
147,departure,aeromexico,17.0,2024-05-09 21:40:00,2024-05-09 21:56:00,2024-05-09,Thursday
149,departure,delta air lines,17.0,2024-05-09 21:40:00,2024-05-09 21:56:00,2024-05-09,Thursday
150,departure,southwest airlines,3.0,2024-05-09 21:55:00,2024-05-09 21:57:00,2024-05-09,Thursday
151,departure,frontier airlines,23.0,2024-05-09 22:38:00,2024-05-09 23:01:00,2024-05-09,Thursday
152,departure,jetblue airways,27.0,2024-05-09 22:40:00,2024-05-09 23:07:00,2024-05-09,Thursday
153,departure,delta air lines,10.0,2024-05-09 22:50:00,2024-05-09 23:00:00,2024-05-09,Thursday
155,departure,delta air lines,19.0,2024-05-09 22:50:00,2024-05-09 23:09:00,2024-05-09,Thursday
156,departure,aeromexico,30.0,2024-05-09 22:50:00,,2024-05-09,Thursday
158,departure,delta air lines,30.0,2024-05-09 22:50:00,,2024-05-09,Thursday
159,departure,aeromexico,9.0,2024-05-09 22:50:00,2024-05-09 22:58:00,2024-05-09,Thursday
161,departure,delta air lines,9.0,2024-05-09 22:50:00,2024-05-09 22:58:00,2024-05-09,Thursday
162,departure,aeromexico,13.0,2024-05-09 22:50:00,2024-05-09 23:03:00,2024-05-09,Thursday
164,departure,delta air lines,13.0,2024-05-09 22:50:00,2024-05-09 23:03:00,2024-05-09,Thursday
165,departure,aeromexico,12.0,2024-05-09 22:50:00,2024-05-09 23:02:00,2024-05-09,Thursday
168,departure,delta air lines,12.0,2024-05-09 22:50:00,2024-05-09 23:02:00,2024-05-09,Thursday
169,departure,delta air lines,23.0,2024-05-09 22:50:00,2024-05-09 23:12:00,2024-05-09,Thursday
170,departure,aeromexico,5.0,2024-05-09 22:55:00,2024-05-09 22:59:00,2024-05-09,Thursday
172,departure,delta air lines,5.0,2024-05-09 22:55:00,2024-05-09 22:59:00,2024-05-09,Thursday
173,departure,aeromexico,24.0,2024-05-09 22:55:00,2024-05-09 23:19:00,2024-05-09,Thursday
174,departure,delta air lines,24.0,2024-05-09 22:55:00,2024-05-09 23:19:00,2024-05-09,Thursday
175,departure,aeromexico,13.0,2024-05-09 22:55:00,2024-05-09 23:08:00,2024-05-09,Thursday
177,departure,delta air lines,13.0,2024-05-09 22:55:00,2024-05-09 23:08:00,2024-05-09,Thursday
178,departure,aeromexico,31.0,2024-05-09 22:58:00,2024-05-09 23:28:00,2024-05-09,Thursday
179,departure,delta air lines,31.0,2024-05-09 22:58:00,2024-05-09 23:28:00,2024-05-09,Thursday
181,departure,frontier airlines,54.0,2024-05-09 22:59:00,,2024-05-09,Thursday
182,departure,aeromexico,36.0,2024-05-09 23:00:00,2024-05-09 23:35:00,2024-05-09,Thursday
184,departure,delta air lines,36.0,2024-05-09 23:00:00,2024-05-09 23:35:00,2024-05-09,Thursday
185,departure,aeromexico,6.0,2024-05-09 23:00:00,2024-05-09 23:05:00,2024-05-09,Thursday
187,departure,delta air lines,6.0,2024-05-09 23:00:00,2024-05-09 23:05:00,2024-05-09,Thursday
188,departure,aeromexico,48.0,2024-05-09 23:00:00,2024-05-09 23:48:00,2024-05-09,Thursday
190,departure,delta air lines,48.0,2024-05-09 23:00:00,2024-05-09 23:48:00,2024-05-09,Thursday
191,departure,aeromexico,10.0,2024-05-09 23:00:00,2024-05-09 23:10:00,2024-05-09,Thursday
193,departure,delta air lines,10.0,2024-05-09 23:00:00,2024-05-09 23:10:00,2024-05-09,Thursday
194,departure,aeromexico,,2024-05-09 23:00:00,2024-05-09 22:56:00,2024-05-09,Thursday
196,departure,delta air lines,,2024-05-09 23:00:00,2024-05-09 22:56:00,2024-05-09,Thursday
197,departure,aeromexico,,2024-05-09 23:05:00,2024-05-09 23:05:00,2024-05-09,Thursday
199,departure,delta air lines,,2024-05-09 23:05:00,2024-05-09 23:05:00,2024-05-09,Thursday
200,departure,aeromexico,42.0,2024-05-09 23:05:00,2024-05-09 23:46:00,2024-05-09,Thursday
201,departure,delta air lines,42.0,2024-05-09 23:05:00,2024-05-09 23:46:00,2024-05-09,Thursday
202,departure,aeromexico,51.0,2024-05-09 23:10:00,2024-05-10 00:01:00,2024-05-09,Thursday
204,departure,delta air lines,51.0,2024-05-09 23:10:00,2024-05-10 00:01:00,2024-05-09,Thursday
205,departure,aeromexico,28.0,2024-05-09 23:14:00,2024-05-09 23:42:00,2024-05-09,Thursday
206,departure,delta air lines,28.0,2024-05-09 23:14:00,2024-05-09 23:42:00,2024-05-09,Thursday
207,departure,aeromexico,11.0,2024-05-09 23:15:00,2024-05-09 23:25:00,2024-05-09,Thursday
209,departure,delta air lines,11.0,2024-05-09 23:15:00,2024-05-09 23:25:00,2024-05-09,Thursday
210,departure,aeromexico,25.0,2024-05-09 23:21:00,2024-05-09 23:46:00,2024-05-09,Thursday
211,departure,delta air lines,25.0,2024-05-09 23:21:00,2024-05-09 23:46:00,2024-05-09,Thursday
212,departure,aeromexico,11.0,2024-05-09 23:25:00,2024-05-09 23:35:00,2024-05-09,Thursday
216,departure,delta air lines,11.0,2024-05-09 23:25:00,2024-05-09 23:35:00,2024-05-09,Thursday
218,departure,delta air lines,26.0,2024-05-09 23:25:00,2024-05-09 23:50:00,2024-05-09,Thursday
219,departure,aeromexico,6.0,2024-05-09 23:25:00,2024-05-09 23:30:00,2024-05-09,Thursday
221,departure,delta air lines,6.0,2024-05-09 23:25:00,2024-05-09 23:30:00,2024-05-09,Thursday
222,departure,delta air lines,39.0,2024-05-09 23:29:00,2024-05-10 00:08:00,2024-05-09,Thursday
224,departure,delta air lines,41.0,2024-05-09 23:45:00,2024-05-10 00:25:00,2024-05-09,Thursday
225,departure,aeromexico,3.0,2024-05-09 23:50:00,2024-05-09 23:52:00,2024-05-09,Thursday
228,departure,delta air lines,3.0,2024-05-09 23:50:00,2024-05-09 23:52:00,2024-05-09,Thursday
229,departure,aeromexico,7.0,2024-05-09 23:52:00,2024-05-09 23:59:00,2024-05-09,Thursday
232,departure,delta air lines,7.0,2024-05-09 23:52:00,2024-05-09 23:59:00,2024-05-09,Thursday
234,departure,aeromexico,12.0,2024-05-09 23:55:00,2024-05-10 00:07:00,2024-05-09,Thursday
239,departure,delta air lines,12.0,2024-05-09 23:55:00,2024-05-10 00:07:00,2024-05-09,Thursday
241,departure,jetblue airways,10.0,2024-05-09 23:56:00,2024-05-10 00:05:00,2024-05-09,Thursday
242,departure,american airlines,11.0,2024-05-09 23:59:00,2024-05-10 00:10:00,2024-05-09,Thursday
246,departure,jetblue airways,,2024-05-09 23:59:00,2024-05-09 23:55:00,2024-05-09,Thursday
248,departure,delta air lines,35.0,2024-05-09 23:59:00,2024-05-10 00:34:00,2024-05-09,Thursday
250,departure,delta air lines,3.0,2024-05-09 23:59:00,2024-05-10 00:01:00,2024-05-09,Thursday
251,departure,delta air lines,23.0,2024-05-10 11:40:00,2024-05-10 12:02:00,2024-05-10,Friday
257,departure,american airlines,9.0,2024-05-10 05:12:00,2024-05-10 05:21:00,2024-05-10,Friday
259,departure,united airlines,135.0,2024-05-10 05:15:00,,2024-05-10,Friday
260,departure,southwest airlines,12.0,2024-05-10 05:30:00,2024-05-10 05:41:00,2024-05-10,Friday
261,departure,spirit airlines,60.0,2024-05-10 05:40:00,,2024-05-10,Friday
263,departure,american airlines,1.0,2024-05-10 05:45:00,2024-05-10 05:45:00,2024-05-10,Friday
264,departure,southwest airlines,10.0,2024-05-10 05:55:00,2024-05-10 06:04:00,2024-05-10,Friday
268,departure,delta air lines,10.0,2024-05-10 06:00:00,2024-05-10 06:10:00,2024-05-10,Friday
269,departure,southwest airlines,14.0,2024-05-10 06:10:00,2024-05-10 06:23:00,2024-05-10,Friday
270,departure,aeromexico,8.0,2024-05-10 06:17:00,2024-05-10 06:24:00,2024-05-10,Friday
271,departure,delta air lines,8.0,2024-05-10 06:17:00,2024-05-10 06:24:00,2024-05-10,Friday
273,departure,delta air lines,3.0,2024-05-10 06:20:00,2024-05-10 06:23:00,2024-05-10,Friday
274,departure,aeromexico,,2024-05-10 06:25:00,,2024-05-10,Friday
276,departure,delta air lines,,2024-05-10 06:25:00,,2024-05-10,Friday
277,departure,southwest airlines,7.0,2024-05-10 06:25:00,2024-05-10 06:32:00,2024-05-10,Friday
278,departure,southwest airlines,14.0,2024-05-10 06:40:00,2024-05-10 06:54:00,2024-05-10,Friday
280,departure,united airlines,12.0,2024-05-10 06:45:00,2024-05-10 06:57:00,2024-05-10,Friday
283,departure,alaska airlines,12.0,2024-05-10 06:50:00,2024-05-10 07:01:00,2024-05-10,Friday
287,departure,american airlines,22.0,2024-05-10 06:58:00,2024-05-10 07:19:00,2024-05-10,Friday
290,departure,american airlines,5.0,2024-05-10 07:00:00,2024-05-10 07:05:00,2024-05-10,Friday
292,departure,united airlines,6.0,2024-05-10 07:00:00,2024-05-10 07:06:00,2024-05-10,Friday
293,departure,american airlines,6.0,2024-05-10 07:30:00,2024-05-10 07:35:00,2024-05-10,Friday
294,departure,southwest airlines,13.0,2024-05-10 07:30:00,2024-05-10 07:42:00,2024-05-10,Friday
295,departure,delta air lines,19.0,2024-05-10 07:41:00,2024-05-10 07:59:00,2024-05-10,Friday
299,departure,united airlines,49.0,2024-05-10 07:45:00,2024-05-10 08:33:00,2024-05-10,Friday
300,departure,southwest airlines,16.0,2024-05-10 07:55:00,2024-05-10 08:10:00,2024-05-10,Friday
301,departure,alaska airlines,4.0,2024-05-10 08:00:00,2024-05-10 08:03:00,2024-05-10,Friday
307,departure,delta air lines,16.0,2024-05-10 08:00:00,2024-05-10 08:16:00,2024-05-10,Friday
311,departure,delta air lines,50.0,2024-05-10 08:00:00,,2024-05-10,Friday
316,departure,united airlines,5.0,2024-05-10 08:00:00,2024-05-10 08:05:00,2024-05-10,Friday
318,departure,delta air lines,9.0,2024-05-10 08:05:00,2024-05-10 08:14:00,2024-05-10,Friday
320,departure,delta air lines,9.0,2024-05-10 08:06:00,2024-05-10 08:15:00,2024-05-10,Friday
321,departure,delta air lines,12.0,2024-05-10 08:08:00,2024-05-10 08:20:00,2024-05-10,Friday
323,departure,frontier airlines,10.0,2024-05-10 08:08:00,2024-05-10 08:18:00,2024-05-10,Friday
324,departure,aeromexico,22.0,2024-05-10 08:09:00,2024-05-10 08:31:00,2024-05-10,Friday
326,departure,delta air lines,22.0,2024-05-10 08:09:00,2024-05-10 08:31:00,2024-05-10,Friday
327,departure,delta air lines,16.0,2024-05-10 08:10:00,2024-05-10 08:26:00,2024-05-10,Friday
329,departure,american airlines,15.0,2024-05-10 08:15:00,2024-05-10 08:30:00,2024-05-10,Friday
333,departure,delta air lines,13.0,2024-05-10 08:15:00,2024-05-10 08:28:00,2024-05-10,Friday
334,departure,delta air lines,11.0,2024-05-10 08:15:00,2024-05-10 08:25:00,2024-05-10,Friday
335,departure,aeromexico,10.0,2024-05-10 08:15:00,2024-05-10 08:24:00,2024-05-10,Friday
340,departure,delta air lines,10.0,2024-05-10 08:15:00,2024-05-10 08:24:00,2024-05-10,Friday
343,departure,united airlines,12.0,2024-05-10 08:15:00,2024-05-10 08:27:00,2024-05-10,Friday
346,departure,delta air lines,17.0,2024-05-10 08:20:00,2024-05-10 08:36:00,2024-05-10,Friday
351,departure,delta air lines,45.0,2024-05-10 08:20:00,,2024-05-10,Friday
355,departure,american airlines,96.0,2024-05-10 08:24:00,,2024-05-10,Friday
356,departure,delta air lines,16.0,2024-05-10 08:25:00,2024-05-10 08:40:00,2024-05-10,Friday
358,departure,united airlines,52.0,2024-05-10 08:25:00,2024-05-10 09:16:00,2024-05-10,Friday
361,departure,delta air lines,30.0,2024-05-10 08:28:00,2024-05-10 08:57:00,2024-05-10,Friday
365,departure,delta air lines,12.0,2024-05-10 08:30:00,2024-05-10 08:41:00,2024-05-10,Friday
369,departure,delta air lines,7.0,2024-05-10 08:31:00,2024-05-10 08:37:00,2024-05-10,Friday
374,departure,alaska airlines,132.0,2024-05-10 08:45:00,,2024-05-10,Friday
375,departure,southwest airlines,11.0,2024-05-10 08:45:00,2024-05-10 08:56:00,2024-05-10,Friday
376,departure,southwest airlines,15.0,2024-05-10 09:00:00,2024-05-10 09:14:00,2024-05-10,Friday
377,departure,aeromexico,8.0,2024-05-10 09:25:00,2024-05-10 09:33:00,2024-05-10,Friday
383,departure,delta air lines,8.0,2024-05-10 09:25:00,2024-05-10 09:33:00,2024-05-10,Friday
385,departure,aeromexico,7.0,2024-05-10 09:25:00,2024-05-10 09:31:00,2024-05-10,Friday
388,departure,delta air lines,7.0,2024-05-10 09:25:00,2024-05-10 09:31:00,2024-05-10,Friday
389,departure,aeromexico,9.0,2024-05-10 09:28:00,2024-05-10 09:36:00,2024-05-10,Friday
390,departure,delta air lines,9.0,2024-05-10 09:28:00,2024-05-10 09:36:00,2024-05-10,Friday
392,departure,aeromexico,23.0,2024-05-10 09:30:00,2024-05-10 09:53:00,2024-05-10,Friday
396,departure,delta air lines,23.0,2024-05-10 09:30:00,2024-05-10 09:53:00,2024-05-10,Friday
397,departure,aeromexico,14.0,2024-05-10 09:30:00,2024-05-10 09:43:00,2024-05-10,Friday
404,departure,delta air lines,14.0,2024-05-10 09:30:00,2024-05-10 09:43:00,2024-05-10,Friday
405,departure,delta air lines,5.0,2024-05-10 09:30:00,2024-05-10 09:35:00,2024-05-10,Friday
412,departure,united airlines,24.0,2024-05-10 09:30:00,2024-05-10 09:54:00,2024-05-10,Friday
413,departure,delta air lines,9.0,2024-05-10 09:33:00,2024-05-10 09:41:00,2024-05-10,Friday
415,departure,delta air lines,7.0,2024-05-10 09:33:00,2024-05-10 09:40:00,2024-05-10,Friday
417,departure,delta air lines,8.0,2024-05-10 09:35:00,2024-05-10 09:42:00,2024-05-10,Friday
418,departure,southwest airlines,21.0,2024-05-10 09:35:00,2024-05-10 09:55:00,2024-05-10,Friday
419,departure,aeromexico,14.0,2024-05-10 09:37:00,2024-05-10 09:51:00,2024-05-10,Friday
420,departure,delta air lines,14.0,2024-05-10 09:37:00,2024-05-10 09:51:00,2024-05-10,Friday
424,departure,delta air lines,19.0,2024-05-10 09:40:00,2024-05-10 09:59:00,2024-05-10,Friday
426,departure,delta air lines,91.0,2024-05-10 09:40:00,,2024-05-10,Friday
427,departure,delta air lines,17.0,2024-05-10 09:40:00,2024-05-10 09:57:00,2024-05-10,Friday
429,departure,aeromexico,42.0,2024-05-10 09:41:00,2024-05-10 10:22:00,2024-05-10,Friday
434,departure,delta air lines,42.0,2024-05-10 09:41:00,2024-05-10 10:22:00,2024-05-10,Friday
437,departure,delta air lines,9.0,2024-05-10 09:43:00,2024-05-10 09:52:00,2024-05-10,Friday
438,departure,delta air lines,19.0,2024-05-10 09:43:00,2024-05-10 10:01:00,2024-05-10,Friday
439,departure,delta air lines,23.0,2024-05-10 09:45:00,2024-05-10 10:07:00,2024-05-10,Friday
440,departure,delta air lines,18.0,2024-05-10 09:45:00,2024-05-10 10:02:00,2024-05-10,Friday
441,departure,aeromexico,18.0,2024-05-10 09:45:00,2024-05-10 10:02:00,2024-05-10,Friday
443,departure,jetblue airways,12.0,2024-05-10 09:48:00,2024-05-10 10:00:00,2024-05-10,Friday
444,departure,aeromexico,32.0,2024-05-10 10:00:00,2024-05-10 10:32:00,2024-05-10,Friday
446,departure,delta air lines,32.0,2024-05-10 10:00:00,2024-05-10 10:32:00,2024-05-10,Friday
450,departure,delta air lines,30.0,2024-05-10 10:00:00,2024-05-10 10:29:00,2024-05-10,Friday
451,departure,delta air lines,19.0,2024-05-10 10:05:00,2024-05-10 10:24:00,2024-05-10,Friday
452,departure,delta air lines,16.0,2024-05-10 10:05:00,2024-05-10 10:21:00,2024-05-10,Friday
453,departure,delta air lines,40.0,2024-05-10 10:10:00,2024-05-10 10:49:00,2024-05-10,Friday
454,departure,frontier airlines,108.0,2024-05-10 10:15:00,,2024-05-10,Friday
456,departure,delta air lines,27.0,2024-05-10 10:22:00,2024-05-10 10:48:00,2024-05-10,Friday
457,departure,southwest airlines,10.0,2024-05-10 10:25:00,2024-05-10 10:35:00,2024-05-10,Friday
461,departure,delta air lines,13.0,2024-05-10 10:28:00,2024-05-10 10:41:00,2024-05-10,Friday
462,departure,southwest airlines,27.0,2024-05-10 10:35:00,2024-05-10 11:01:00,2024-05-10,Friday
463,departure,southwest airlines,11.0,2024-05-10 10:45:00,2024-05-10 10:56:00,2024-05-10,Friday
465,departure,united airlines,8.0,2024-05-10 10:47:00,2024-05-10 10:55:00,2024-05-10,Friday
467,departure,american airlines,9.0,2024-05-10 10:50:00,2024-05-10 10:58:00,2024-05-10,Friday
468,departure,aeromexico,7.0,2024-05-10 10:51:00,2024-05-10 10:57:00,2024-05-10,Friday
470,departure,delta air lines,7.0,2024-05-10 10:51:00,2024-05-10 10:57:00,2024-05-10,Friday
472,departure,delta air lines,42.0,2024-05-10 10:59:00,2024-05-10 11:40:00,2024-05-10,Friday
479,departure,delta air lines,243.0,2024-05-10 11:00:00,,2024-05-10,Friday
480,departure,aeromexico,13.0,2024-05-10 11:00:00,2024-05-10 11:13:00,2024-05-10,Friday
481,departure,delta air lines,13.0,2024-05-10 11:00:00,2024-05-10 11:13:00,2024-05-10,Friday
482,departure,delta air lines,12.0,2024-05-10 11:00:00,2024-05-10 11:11:00,2024-05-10,Friday
487,departure,delta air lines,22.0,2024-05-10 11:00:00,2024-05-10 11:22:00,2024-05-10,Friday
490,departure,delta air lines,70.0,2024-05-10 11:00:00,,2024-05-10,Friday
491,departure,delta air lines,12.0,2024-05-10 11:00:00,2024-05-10 11:11:00,2024-05-10,Friday
492,departure,delta air lines,13.0,2024-05-10 11:00:00,2024-05-10 11:12:00,2024-05-10,Friday
493,departure,delta air lines,42.0,2024-05-10 11:01:00,2024-05-10 11:42:00,2024-05-10,Friday
495,departure,aeromexico,45.0,2024-05-10 11:05:00,2024-05-10 11:50:00,2024-05-10,Friday
499,departure,delta air lines,45.0,2024-05-10 11:05:00,2024-05-10 11:50:00,2024-05-10,Friday
504,departure,delta air lines,49.0,2024-05-10 11:05:00,2024-05-10 11:53:00,2024-05-10,Friday
505,departure,aeromexico,4.0,2024-05-10 11:05:00,2024-05-10 11:09:00,2024-05-10,Friday
506,departure,delta air lines,4.0,2024-05-10 11:05:00,2024-05-10 11:09:00,2024-05-10,Friday
507,departure,delta air lines,40.0,2024-05-10 11:05:00,2024-05-10 11:45:00,2024-05-10,Friday
508,departure,delta air lines,20.0,2024-05-10 11:05:00,2024-05-10 11:24:00,2024-05-10,Friday
509,departure,aeromexico,23.0,2024-05-10 11:10:00,2024-05-10 11:33:00,2024-05-10,Friday
512,departure,delta air lines,23.0,2024-05-10 11:10:00,2024-05-10 11:33:00,2024-05-10,Friday
513,departure,delta air lines,45.0,2024-05-10 11:10:00,,2024-05-10,Friday
514,departure,delta air lines,29.0,2024-05-10 11:10:00,2024-05-10 11:39:00,2024-05-10,Friday
516,departure,aeromexico,34.0,2024-05-10 11:10:00,2024-05-10 11:44:00,2024-05-10,Friday
521,departure,delta air lines,34.0,2024-05-10 11:10:00,2024-05-10 11:44:00,2024-05-10,Friday
527,departure,alaska airlines,42.0,2024-05-10 11:11:00,2024-05-10 11:52:00,2024-05-10,Friday
528,departure,delta air lines,23.0,2024-05-10 11:15:00,2024-05-10 11:37:00,2024-05-10,Friday
530,departure,delta air lines,6.0,2024-05-10 11:15:00,2024-05-10 11:21:00,2024-05-10,Friday
531,departure,aeromexico,20.0,2024-05-10 11:15:00,2024-05-10 11:35:00,2024-05-10,Friday
533,departure,delta air lines,20.0,2024-05-10 11:15:00,2024-05-10 11:35:00,2024-05-10,Friday
534,departure,delta air lines,21.0,2024-05-10 11:15:00,2024-05-10 11:36:00,2024-05-10,Friday
535,departure,southwest airlines,41.0,2024-05-10 11:15:00,2024-05-10 11:56:00,2024-05-10,Friday
538,departure,delta air lines,50.0,2024-05-10 11:20:00,,2024-05-10,Friday
540,departure,delta air lines,17.0,2024-05-10 11:20:00,2024-05-10 11:37:00,2024-05-10,Friday
541,departure,delta air lines,69.0,2024-05-10 11:20:00,,2024-05-10,Friday
544,departure,delta air lines,22.0,2024-05-10 11:24:00,2024-05-10 11:46:00,2024-05-10,Friday
545,departure,delta air lines,23.0,2024-05-10 11:25:00,2024-05-10 11:48:00,2024-05-10,Friday
546,departure,delta air lines,13.0,2024-05-10 11:25:00,2024-05-10 11:38:00,2024-05-10,Friday
547,departure,delta air lines,21.0,2024-05-10 11:27:00,2024-05-10 11:48:00,2024-05-10,Friday
550,departure,delta air lines,65.0,2024-05-10 11:27:00,,2024-05-10,Friday
554,departure,delta air lines,10.0,2024-05-10 11:30:00,2024-05-10 11:39:00,2024-05-10,Friday
557,departure,delta air lines,21.0,2024-05-10 11:30:00,2024-05-10 11:51:00,2024-05-10,Friday
